CCTV-1,rtp://239.255.30.101:8231
CCTV-2,rtp://239.255.30.179:8231
CCTV-2,rtp://239.255.30.2:8231
CCTV-3,rtp://239.255.29.12:8231
CCTV-3,rtp://239.255.30.185:8231
CCTV-4,rtp://239.255.30.3:8231
CCTV-4,rtp://239.255.30.83:8231
CCTV-5,rtp://239.255.29.13:8231
CCTV-5,rtp://239.255.30.186:8231
CCTV-5,rtp://239.255.30.199:8231
CCTV-5+,rtp://239.255.30.184:8231
CCTV-6,rtp://239.255.29.14:8231
CCTV-6,rtp://239.255.30.187:8231
CCTV-7,rtp://239.255.30.178:8231
CCTV-7,rtp://239.255.30.4:8231
CCTV-8,rtp://239.255.29.15:8231
CCTV-8,rtp://239.255.30.188:8231
CCTV-9,rtp://239.255.30.180:8231
CCTV-9,rtp://239.255.30.74:8231
CCTV-10,rtp://239.255.30.10:8231
CCTV-10,rtp://239.255.30.181:8231
CCTV-11,rtp://239.255.30.62:8231
CCTV-11,rtp://239.255.30.7:8231
CCTV-12,rtp://239.255.30.182:8231
CCTV-12,rtp://239.255.30.8:8231
CCTV-13,rtp://239.255.29.28:8231
CCTV-13,rtp://239.255.30.9:8231
CCTV-14,rtp://239.255.30.183:8231
CCTV-15,rtp://239.255.30.68:8231
CCTV-16,rtp://239.255.30.88:8231
CCTV-17,rtp://239.255.30.96:8231
凤凰资讯,rtp://239.255.30.70:8231
凤凰中文,rtp://239.255.30.50:8231
凤凰香港,rtp://239.255.30.123:8231
甘肃影视,rtp://239.255.30.250:8231
甘肃少儿,rtp://239.255.30.254:8231
甘肃经济,rtp://239.255.30.253:8231
甘肃公共,rtp://239.255.30.251:8231
甘肃都市,rtp://239.255.30.252:8231
五星体育,rtp://239.255.29.45:8231
天津卫视,rtp://239.255.30.67:8231
体育,rtp://239.255.29.31:8231
体育,rtp://239.255.30.115:8231
体育,rtp://239.255.30.128:8231
重庆卫视,rtp://239.255.30.89:8231
浙江卫视,rtp://239.255.30.132:8231
云南卫视,rtp://239.255.29.2:8231
新闻,rtp://239.255.30.93:8231
四川卫视,rtp://239.255.30.91:8231
生活时尚,rtp://239.255.29.18:8231
深圳卫视,rtp://239.255.30.135:8231
山东卫视,rtp://239.255.30.139:8231
三沙卫视,rtp://239.255.29.46:8231
陇上生活,rtp://239.255.30.73:8231
临夏新闻,rtp://239.255.30.107:8231
临夏文旅,rtp://239.255.30.108:8231
临夏经济,rtp://239.255.30.106:8231
辽宁卫视,rtp://239.255.30.69:8231
卡酷少儿,rtp://239.255.29.38:8231
金鹰纪实,rtp://239.255.29.39:8231
金色学堂,rtp://239.255.29.23:8231
江西卫视,rtp://239.255.30.71:8231
江苏卫视,rtp://239.255.30.131:8231
纪实人文,rtp://239.255.30.176:8231
吉林卫视,rtp://239.255.29.5:8231
欢笑剧场,rtp://239.255.29.19:8231
欢笑剧场,rtp://239.255.29.7:8231
湖南卫视,rtp://239.255.30.136:8231
湖北卫视,rtp://239.255.30.138:8231
黑龙江卫视,rtp://239.255.30.137:8231
河南卫视,rtp://239.255.29.3:8231
河北卫视,rtp://239.255.30.85:8231
海南卫视,rtp://239.255.30.99:8231
哈哈炫动,rtp://239.255.29.37:8231
贵州卫视,rtp://239.255.30.98:8231
广西卫视,rtp://239.255.29.4:8231
广东卫视,rtp://239.255.30.134:8231
法治天地,rtp://239.255.29.24:8231
都市剧场,rtp://239.255.29.41:8231
都市,rtp://239.255.29.22:8231
动漫秀场,rtp://239.255.29.16:8231
东南卫视,rtp://239.255.30.86:8231
东方卫视,rtp://239.255.30.130:8231
东方财经,rtp://239.255.29.43:8231
北京卫视,rtp://239.255.30.133:8231
安徽卫视,rtp://239.255.30.84:8231
YZTV,rtp://239.255.30.175:8231
CETV-1,rtp://239.255.30.90:8231
Bestv,rtp://239.255.30.100:8231
Bestv,rtp://239.255.30.118:8231
Bestv,rtp://239.255.30.150:8231
Bestv,rtp://239.255.30.151:8231
Bestv,rtp://239.255.30.160:8231
Bestv,rtp://239.255.30.166:8231
Bestv,rtp://239.255.30.167:8231
Bestv,rtp://239.255.30.168:8231
Bestv,rtp://239.255.30.193:8231
Bestv,rtp://239.255.30.194:8231
Bestv,rtp://239.255.30.196:8231
Bestv,rtp://239.255.30.197:8231
Bestv,rtp://239.255.30.198:8231
Bestv,rtp://239.255.30.217:8231
Bestv,rtp://239.255.30.236:8231
Bestv,rtp://239.255.30.249:8231
