CCTV-1,udp://235.254.198.51:1480
CCTV-2,udp://235.254.198.52:1484
CCTV-3,udp://235.254.198.53:1488
CCTV-4,udp://235.254.198.183:7980
CCTV-5,udp://235.254.198.54:1492
CCTV-5+,udp://235.254.198.122:1764
CCTV-6,udp://235.254.198.55:1496
CCTV-7,udp://235.254.198.56:1500
CCTV-8,udp://235.254.198.57:1504
CCTV-9,udp://235.254.198.58:1508
CCTV-10,udp://235.254.198.59:1512
CCTV-12,udp://235.254.198.60:1516
重庆卫视,udp://235.254.196.249:1268
CQTV影视,udp://235.254.198.180:7980
CQTV都市,udp://235.254.198.181:7980
CQTV时尚,udp://235.254.198.182:7980
CQTV娱乐,udp://235.254.198.187:7980
CQTV公共农村,udp://235.254.198.186:7980
CQTV新闻,udp://235.254.196.199:7980
CCTV-14,udp://235.254.198.61:1520
江苏卫视,udp://235.254.198.64:1532
浙江卫视,udp://235.254.198.63:1528
东方卫视,udp://235.254.198.73:1568
深圳卫视,udp://235.254.198.71:1560
北京卫视,udp://235.254.198.66:1540
山东卫视,udp://235.254.198.69:1552
天津卫视,udp://235.254.198.67:1544
贵州卫视,udp://235.254.198.185:7980
黑龙江卫视,udp://235.254.198.70:1556
安徽卫视,udp://235.254.198.65:1536
湖北卫视,udp://235.254.198.72:1564
辽宁卫视,udp://235.254.198.68:1548
湖南卫视,udp://235.254.198.62:1524
广东卫视,udp://235.254.196.204:1088
河北卫视,udp://235.254.198.184:7980
纪实高清,udp://235.254.198.121:1760
爱上4K,udp://235.254.198.102:7980
江苏晚会4K,udp://235.254.198.147:1866
