CCTV,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV1,http://60.6.255.8:2180/live/cctv1/index.m3u8
CCTV1,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv1
CCTV1,http://222.223.118.222:2180/live/cctv1/index.m3u8
CCTV1,http://183.92.4.163:4000/udp/228.0.0.1:6108
CCTV1,http://222.241.154.37:9901/tsfile/live/23001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://60.6.255.8:2180/live/cctv2/index.m3u8
CCTV2,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv2
CCTV2,http://222.223.118.222:2180/live/cctv2/index.m3u8
CCTV2,http://183.92.4.163:4000/udp/228.0.0.2:6108
CCTV2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://60.6.255.8:2180/live/cctv3/index.m3u8
CCTV3,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv3
CCTV3,http://222.223.118.222:2180/live/cctv3/index.m3u8
CCTV3,http://183.92.4.163:4000/udp/228.0.0.156:7156
CCTV3,http://222.241.154.37:9901/tsfile/live/23003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://60.6.255.8:2180/live/cctv4/index.m3u8
CCTV4,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv4
CCTV4,http://222.223.118.222:2180/live/cctv4/index.m3u8
CCTV4,http://183.92.4.163:4000/udp/228.0.0.143:7143
CCTV4,http://222.241.154.37:9901/tsfile/live/23004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://60.6.255.8:2180/live/cctv5/index.m3u8
CCTV5,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv5
CCTV5,http://222.223.118.222:2180/live/cctv5/index.m3u8
CCTV5,http://183.92.4.163:4000/udp/228.0.0.112:6108
CCTV5,http://222.241.154.37:9901/tsfile/live/23005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://60.6.255.8:2180/live/cctv5q/index.m3u8
CCTV5+,http://zy.otioi.cn/live/live.php?token=zy-2969297279&id=cctv5p
CCTV5+,http://222.223.118.222:2180/live/cctv5q/index.m3u8
CCTV5+,http://183.92.4.163:4000/udp/228.0.0.17:6108
CCTV5+,http://222.241.154.37:9901/tsfile/live/23018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://60.6.255.8:2180/live/cctv6/index.m3u8
CCTV6,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv6
CCTV6,http://222.223.118.222:2180/live/cctv6/index.m3u8
CCTV6,http://183.92.4.163:4000/udp/228.0.0.157:7157
CCTV6,http://222.241.154.37:9901/tsfile/live/23006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://60.6.255.8:2180/live/cctv7/index.m3u8
CCTV7,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv7
CCTV7,http://222.223.118.222:2180/live/cctv7/index.m3u8
CCTV7,http://183.92.4.163:4000/udp/228.0.0.7:6108
CCTV7,http://222.241.154.37:9901/tsfile/live/23007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://60.6.255.8:2180/live/cctv8/index.m3u8
CCTV8,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv8
CCTV8,http://222.223.118.222:2180/live/cctv8/index.m3u8
CCTV8,http://183.92.4.163:4000/udp/228.0.0.158:7158
CCTV8,http://222.241.154.37:9901/tsfile/live/23008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://60.6.255.8:2180/live/cctv9/index.m3u8
CCTV9,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv9
CCTV9,http://222.223.118.222:2180/live/cctv9/index.m3u8
CCTV9,http://183.92.4.163:4000/udp/228.0.0.9:6108
CCTV9,http://222.241.154.37:9901/tsfile/live/23009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://60.6.255.8:2180/live/cctv10/index.m3u8
CCTV10,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv10
CCTV10,http://222.223.118.222:2180/live/cctv10/index.m3u8
CCTV10,http://183.92.4.163:4000/udp/228.0.0.10:6108
CCTV10,http://222.241.154.37:9901/tsfile/live/23010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://60.6.255.8:2180/live/cctv11/index.m3u8
CCTV11,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv11
CCTV11,http://222.223.118.222:2180/live/cctv11/index.m3u8
CCTV11,http://183.92.4.163:4000/udp/228.0.0.242:6108
